,name,exp,cluster_label,predicted_cluster_label
1,1CZH527GEeR5WDyGac5WHrD6tnW5qJkFGR,0.0075231011301369,2,2
6,1NXF5p5cbPgzKE9rrMbTCiwhKLWVQkN5FL,6.97379908675e-05,0,2
9,13CgtQM4Gwc2zvFko9onFtUGD6KvjtP15N,4.28318378995e-05,0,2
10,1BXCsBTpmFam9b1HxSCguSWnhr1ExYC9UM,9.64415753424e-05,0,2
15,1A6ezvhzGmCqNmGTTzxphLkByuJfjbuwxr,0.0787566484018264,2,2
21,1FzdJPD2jrAkhFYRg9NX6NLLpLyiZHKDHJ,0.0084360730593607,2,2
27,1589f5d03ee14227c84a4e02abd9c0956ff3636f2e53491d5a2004e59ba65e5c,0.5441211254452054,1,2
32,14pu91QU8Hvee8Gx3mVzJvz2VKxNJHD8Gf,2.28310502283e-05,2,0
49,1b2a3333f583ae54dba78ccc71f4fe24a22acd0991d364e75bcf099ce3a84759,0.0125853648630136,2,2
52,29779df2e2a5a1f823b22e7e974a0082bdfd389edc1c11d1d4f6b290d8118d27,0.434599736986301,1,2
57,1N81QsvfvHPSbkhayK837X6Dgyxkx6ssZt,3.9954337899e-06,0,2
58,186Ghrf3GNfuYbJwfHozhPUTyvYGFHiV4d,3.9954337899e-06,0,2
64,18PTb93VUKZwRB4NbDLtfvUnqPsLdxxS63,3.9954337899e-06,0,2
66,1DwsL5ozprNBfH6ZsM2Fi1L2Q3bUfYv1gn,3.9954337899e-06,0,2
68,178NdniKXphgQifBKcuxbTQyU1ro42k3LP,3.9954337899e-06,0,2
69,1PxEfPBnFahFHQYGPsnHBGrSGADc7gez3s,3.9954337899e-06,0,2
70,1Has11T6dEfMDNzdSmytAvEdV49gT5kSJE,3.9954337899e-06,0,2
74,1PsaKUuKUk2hpXH9ohvkKcWysUvGNWJ7dy,3.9954337899e-06,0,2
75,16sPEcmttcQHseQesi6AMonSbgF86MwThA,3.9954337899e-06,0,2
78,1KM6Phz4fuGznCLFFUTnpDPm4tnQkQkREf,3.9954337899e-06,0,2
84,12GVcUfjQX9s6KKYctXguVpnJLZfTX5ZdE,3.9954337899e-06,0,2
92,1MPkxvk2q7moUpGtb3susNpLYMzkEbGHTk,3.9954337899e-06,0,2
93,1P597ZbTKwSiEracV59fVwnpApgaJKvJQJ,3.9954337899e-06,0,2
99,13BNJrVt5s1gZNGnNE4vLLhTrWdnmsThio,3.9939497716e-06,0,2
113,1E1f22CJGSmPYoKqEs3q1942Q4KPmnKk6M,3.9726027397e-06,0,2
117,1BasYRJ92LLJQj1rY1KHsmtMfTctVfmArG,3.969805936e-06,0,2
118,1E8kjeVRwTMD6XtMHYiVWttc4EsKvo7jq,3.9694634703e-06,0,2
125,18fmJreTkiHsdmsLC7SjuBnkt1CEzREZbk,3.9599885844e-06,0,2
127,1FWHjE4N8xUwx7WsHRH2kDoRMqxcHWqjnq,3.9558675799e-06,0,2
131,17juLCfH7FY3XvMovYVgoWYS1sGYqRSNvo,3.9505821917e-06,0,2
139,1JBgJCdCqJr7SCG2bHNvG4AdWiJGEY2PZt,3.9349885844e-06,0,2
140,1LZ3yR948f41kQXMQxAsG4JdgcibAfCMCb,3.934783105e-06,0,2
144,1LZ9WozeiHEQWE3JQbikGHLXa6qiKLXJjN,3.9267123287e-06,0,2
158,15PuUYUNHYSsb9AS3EF92UauwqMrZVvbpX,3.9098744292e-06,0,2
163,19vPgWWciZXt6DxYBvJqiP1WDWG8V5H5mo,1.54667123287e-05,0,2
165,1KXvbJYU6K7eR7R1vRVMHhjcAa2wCHrdwP,3.9012442922e-06,0,2
170,17AUMcszAPFAESZZ6x6s6qC95pGgsZvNcD,3.8994748858e-06,0,2
171,1DyuEzYGdGtKQzk3hiFboEt2kUkukLdWLt,3.8992351598e-06,0,2
180,1FysCmYkLHaz8YeZogBGsnyiyikDUMvHNS,3.8830936073e-06,0,2
190,1GDgBYRv7ysVTqZTrFDaYm9Ce8iSLZQrLp,3.8812785388e-06,0,2
199,14ZTY9y2bgKbcVfgWoK9MFs8us5j6qsRoV,3.8799315068e-06,0,2
201,1GCJP6C1JUz5XByGuzdHTDZjWt8eKgA4F2,3.8758219178e-06,0,2
203,17DxYFEQ13Fz4T7ZP19xqd2jwPEdr7fADc,3.8740525114e-06,0,2
204,18nwFRcU47mKH3nU1WPPzbi2mx5nMPEggn,3.8698630136e-06,0,2
207,1ArFuLxoej3n7P34Nq1Cfic1C3ieXTZf8v,3.8607305936e-06,0,2
211,1JvmE3c9fLSFmC3De6B9HrHxNiGpiE1WUZ,3.8547945205e-06,0,2
215,1BFio7Xvde4VW3kyphog1M4L8GURQCPwSX,3.8504452054e-06,0,2
220,159KAgK9HaU6cAB1MKrYUBGrtAGMfZyP8k,3.838436073e-06,0,2
225,1CytbjiYfx62SJbnB1Xs28LTMwS91uxZPM,3.8294977168e-06,0,0
243,14r2Kyn3gBdP12Gx17Qf4BPAq6hbaDa244,3.801369863e-06,0,0
244,1M7ZSLNWCArLgGY6PSREiLfZWhkEspH7mG,3.8007876712e-06,0,0
251,16aGMwjk7KLEzbrZfaJahQ2vmMEn1PNg9x,3.7671232876e-06,0,0
266,1Pq8GDiHyayxR8g7c42KeDZKWuym5PGyNv,3.7613584474e-06,0,0
273,1DEVae5JZEtrgLxSxxNinHDFWpXrtUXhZt,3.7493607305e-06,0,0
277,95d36a6926639ba50d02f190d3ca2f9322ce721502d47b32a1e8d8be1b13cb40,0.0618106349657534,2,2
280,1ARirZgU4q61sSjVK2iB8BEYC5w2B8ZnE9,0.000117436392694,0,2
291,36vB6ZvEZaTAvpmTKa2wXLWW5mz4ACuZ7y,0.0001045662100456,1,2
297,1BvTQTP5PJVCEz7dCU2YxgMskMxxikSruM,0.0194063926940639,1,2
